"","CC","Year","CG","SenR","SenD","SenThird","CongR","CongD","CongThird","GovR","GovD","GovThird","SenR_Poll","SenD_Poll","GovR_Poll","GovD_Poll","CC..17","Year..18","CG..19","RLeanFromStateMean","DLeanFromStateMean","PRESyear","SENyear","GOVyear","Total.population","MalePop","FemalePop","Age5Under","Age5to9","Age10to14","Age15to19","Age20To24","Age25to34","Age35to44","Age45to54","Age55to59","Age60to64","Age65to74","Age75to84","Age85Plus","MedianAge","Adults18Plus","Adults21Plus","Adults62Plus","Adults65Plus","Adults18Male","Adults18Female","Adults65Male","Adults65Female","PopTwoOrMore","PopWhite","PopBlack","PopIndianNative","Cherokee","Chippewa","Navajo","Sioux","PopAsian","PopAsianIndian","PopChinese","PopFilipino","PopJapanese","PopKorean","PopVietnamese","PopOtherAsian","PopHawaiian","GuamOrChamarro","Samoan","OtherPacIslander","SomeOtherRace","RaceTwoOrMore","WhiteAndBlack","WhiteAndNative","WhiteAndAsian","WhiteAndAlaska","LoneRaceAndTwoOrMore","NotHispOrLatino","TotHousingUnits","NumVotes","Last.Max.Votes","Two.Max.Votes"
"21",4,2016,8,0,0,0,4362,3441,13,0,0,0,NA,NA,NA,NA,4,2016,8,0.120384615384615,-0.0580769230769231,1,0,0,45948,22930,23018,3395,3201,2905,3765,4679,5548,4816,5241,2927,2780,3782,2038,871,513.5,34606,31752,8237,6691,17130,17476,3127,3564,1405,34617,431,8891,44,7139,0,240,453,5,85,27,0,45,29,262,32,0,0,4,119,1405,251,988,79,56,45948,45057,20809,4362,45948,34606
"22",5,2012,6,5447,9658,820,7992,8244,44,0,0,0,673.9,1398.4,NA,NA,5,2012,6,0.0660869565217391,-0.0908695652173913,1,1,0,46805,23693,23112,3304,3111,2816,2915,4410,7527,5933,6254,2956,2081,2656,1767,1075,175.8,35864,34070,6758,5498,17953,17911,2324,3174,918,43125,1899,256,3,134,47,13,553,9,164,2,25,149,106,98,0,0,0,0,54,918,309,163,230,8,46805,45888,19145,8244,46805,35864
"23",5,2014,6,5664,4867,604,5695,4732,588,6049,4319,440,920,1150,926.9,1087.9,5,2014,6,0.149565217391304,-0.100869565217391,0,1,1,47311,24223,23088,3216,3312,3021,2762,3806,7832,5926,6347,3001,2379,2958,1717,1034,181.4,36086,34529,7156,5709,18463,17623,2528,3181,736,43749,2046,244,2,113,41,13,470,55,47,12,0,226,66,64,0,0,0,0,66,736,195,143,178,0,47311,46371,19342,6049,47311,36086
"24",5,2016,6,0,0,0,12765,6408,39,0,0,0,NA,NA,NA,NA,5,2016,6,0.144444444444444,-0.0922222222222222,1,0,0,48066,24600,23466,3461,3352,3099,2634,3416,8038,6177,6065,3035,2466,3420,1878,1025,189.1,36543,35039,7686,6323,18852,17691,2927,3396,944,44187,1966,239,2,69,13,7,621,54,69,31,64,189,20,194,0,0,0,0,109,944,361,204,207,0,48066,47013,19530,12765,48066,36543
"25",6,2012,7,447,1204,85,466,1205,80,0,0,0,615.3,1276.8,NA,NA,6,2012,7,-0.14952380952381,0.125238095238095,1,1,0,5474,2675,2799,286,256,349,354,206,456,498,901,396,375,611,572,214,353.9,4346,4202,1583,1397,2121,2225,608,789,54,5386,17,11,0,4,0,4,2,0,0,2,0,0,0,0,0,0,0,0,4,54,8,33,10,0,5474,5429,3309,1276.8,5474,4346
"26",6,2014,7,851,1166,105,921,1187,1,930,1065,62,920,1150,926.9,1087.9,6,2014,7,-0.0473913043478261,0.112608695652174,0,1,1,5430,2650,2780,309,286,312,293,253,476,466,819,423,402,625,544,222,351.4,4306,4200,1600,1391,2115,2191,616,775,60,5334,14,13,0,5,0,5,2,0,0,2,0,0,0,0,0,0,0,0,7,60,4,41,13,0,5430,5380,3330,1187,5430,4306
"27",6,2016,7,0,0,0,1174,1525,0,0,0,0,NA,NA,NA,NA,6,2016,7,-0.0473913043478261,0.112608695652174,1,0,0,5343,2609,2734,303,291,303,278,288,526,458,716,425,412,607,511,225,314.5,4241,4141,1558,1343,2074,2167,593,750,47,5283,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,10,37,0,0,5343,5275,3328,1525,5343,4241
"28",7,2012,1,3785,7618,656,5094,7120,14,0,0,0,996.2,2067.2,NA,NA,7,2012,1,0.02,-0.0635294117647059,1,1,0,63843,31942,31901,3694,3457,3178,5930,10591,9024,6432,7387,3602,3007,3606,2639,1296,428.2,51604,45166,9114,7541,25815,25789,3204,4337,1277,59196,1632,156,0,64,0,36,1246,176,43,72,82,165,257,451,2,2,0,0,334,1277,298,237,351,193,63843,62205,26334,7120,63843,51604
"29",7,2014,1,4211,4404,498,4225,4858,14,4462,4019,394,1440,1800,1450.8,1702.8,7,2014,1,0.0902777777777778,-0.0294444444444444,0,1,1,64556,32512,32044,3728,3454,3447,5740,10294,9335,6449,7095,3733,3264,4041,2596,1380,431,52028,45585,9825,8017,26086,25942,3488,4529,1125,59652,1967,232,0,103,0,31,1298,107,153,60,83,364,146,385,15,2,0,13,267,1125,396,131,422,22,64556,62743,26708,4858,64556,52028
"30",7,2016,1,0,0,0,6982,6189,9,0,0,0,NA,NA,NA,NA,7,2016,1,0.0902777777777778,-0.0294444444444444,1,0,0,65429,32905,32524,3660,3498,3632,5880,10891,8896,6603,6700,3717,3481,4477,2635,1359,428.2,52628,45539,10445,8471,26371,26257,3775,4696,1395,59948,2170,262,7,149,0,41,1348,83,81,95,62,257,173,597,8,0,0,8,298,1395,583,83,451,27,65429,63411,27212,6982,65429,52628
"31",8,2012,1,4803,8149,632,6354,7305,28,0,0,0,937.6,1945.6,NA,NA,8,2012,1,0.0771875,-0.1009375,1,1,0,27340,13570,13770,1626,1789,1537,1876,1760,2800,2940,4258,1960,1644,2274,1917,959,213.9,21317,20153,6173,5150,10467,10850,2231,2919,133,26703,116,27,0,15,0,5,181,12,25,16,31,7,27,63,17,17,0,0,163,133,46,34,26,0,27340,26477,12149,7305,27340,21317
"32",8,2014,1,4657,4270,417,4870,4423,11,4998,3739,426,1280,1600,1289.6,1513.6,8,2014,1,0.1384375,-0.080625,0,1,1,27057,13460,13597,1581,1708,1616,1827,1724,2863,2771,3951,1943,1861,2384,1819,1009,216.4,21131,20051,6278,5212,10370,10761,2282,2930,201,26382,104,33,0,19,0,5,128,22,19,5,19,26,20,17,16,16,0,0,193,201,39,23,70,0,27057,26139,12160,4998,27057,21131
"33",8,2016,1,0,0,0,8182,5376,8,0,0,0,NA,NA,NA,NA,8,2016,1,0.1384375,-0.080625,1,0,0,26924,13373,13551,1565,1600,1748,1747,1708,2945,2664,3607,2056,1940,2578,1852,914,222.9,21040,19997,6497,5344,10330,10710,2372,2972,217,26158,57,58,0,5,0,5,182,12,18,0,0,71,54,27,15,15,0,0,237,217,35,34,100,0,26924,25923,12192,8182,26924,21040
"34",9,2012,8,4290,13054,636,6718,11401,59,0,0,0,1142.7,2371.2,NA,NA,9,2012,8,-0.163589743589744,0.137179487179487,1,1,0,37607,19660,17947,2370,2483,2437,2412,1924,4511,4952,6035,2590,2276,2921,1816,880,461.1,28795,27572,6806,5617,15007,13788,2500,3117,822,33377,565,2295,4,1920,4,49,319,58,92,26,4,6,0,133,9,0,0,9,220,822,69,529,37,62,37607,37089,16847,11401,37607,28795
"35",9,2014,8,4666,8633,581,5821,7393,5,4776,8176,421,1560,1950,1571.7,1844.7,9,2014,8,-0.048974358974359,0.110769230769231,0,1,1,37681,19506,18175,2212,2583,2532,2320,2067,4485,4767,5739,2728,2428,3131,1810,879,462.3,28859,27653,7216,5820,14958,13901,2642,3178,992,33568,467,2301,8,1974,4,29,256,6,137,39,13,5,0,56,5,0,0,5,92,992,212,569,73,54,37681,37115,16840,8176,37681,28859
"36",9,2016,8,0,0,0,7766,10311,37,0,0,0,NA,NA,NA,NA,9,2016,8,-0.0460526315789474,0.107894736842105,1,0,0,37596,19616,17980,2124,2479,2514,2251,2069,4481,4771,5422,2849,2518,3391,1794,933,474.9,29039,27886,7434,6118,15135,13904,2827,3291,1181,33371,525,2233,7,1787,0,41,216,0,116,18,10,6,1,65,7,0,0,7,63,1181,195,644,89,114,37596,36985,16817,10311,37596,29039
"37",10,2012,3,8850,12397,738,13974,7581,16,0,0,0,263.7,547.2,NA,NA,10,2012,3,0.09,-0.0277777777777778,1,1,0,86845,43064,43781,6413,7789,7427,6194,3592,10639,13695,14968,5037,3646,4106,2445,894,444.1,60972,58303,9597,7445,29840,31132,3185,4260,1823,80102,950,151,0,67,0,26,2241,264,412,155,28,354,449,579,32,0,0,32,1546,1823,547,271,677,24,86845,83271,33165,13974,86845,60972
"38",10,2012,6,7618,9861,656,10309,7963,42,0,0,0,498.1,1033.6,NA,NA,10,2012,6,0.0664705882352941,-0.00823529411764706,1,1,0,86845,43064,43781,6413,7789,7427,6194,3592,10639,13695,14968,5037,3646,4106,2445,894,444.1,60972,58303,9597,7445,29840,31132,3185,4260,1823,80102,950,151,0,67,0,26,2241,264,412,155,28,354,449,579,32,0,0,32,1546,1823,547,271,677,24,86845,83271,33165,10309,86845,60972
"39",10,2014,3,12972,9003,607,15619,6697,12,13185,8467,492,640,800,644.8,756.8,10,2014,3,0.2025,-0.135,0,1,1,89969,44651,45318,6293,7771,7686,6573,3912,10663,13488,15398,5992,3969,4619,2499,1106,450.7,63814,60833,10447,8224,31315,32499,3575,4649,2038,83166,998,162,0,98,0,17,2425,651,391,125,43,219,443,553,74,0,25,25,1106,2038,613,302,750,10,89969,86201,33942,15619,89969,63814
"40",10,2014,6,8351,5421,584,8903,4384,789,8657,4861,462,720,900,725.4,851.4,10,2014,6,0.237777777777778,-0.182777777777778,0,1,1,89969,44651,45318,6293,7771,7686,6573,3912,10663,13488,15398,5992,3969,4619,2499,1106,450.7,63814,60833,10447,8224,31315,32499,3575,4649,2038,83166,998,162,0,98,0,17,2425,651,391,125,43,219,443,553,74,0,25,25,1106,2038,613,302,750,10,89969,86201,33942,8903,89969,63814
"41",10,2016,3,0,0,0,22269,11907,77,0,0,0,NA,NA,NA,NA,10,2016,3,0.2025,-0.135,1,0,0,92345,45917,46428,6201,7633,7662,6742,4440,10657,13347,15389,6695,4429,5171,2715,1264,453.2,66347,63196,11634,9150,32665,33682,4082,5068,2086,85691,1342,136,0,119,0,2,2498,730,319,321,156,251,225,496,75,0,26,19,517,2086,528,351,759,9,92345,88606,34773,22269,92345,66347
"42",10,2016,6,0,0,0,13950,6014,24,0,0,0,NA,NA,NA,NA,10,2016,6,0.237777777777778,-0.182777777777778,1,0,0,92345,45917,46428,6201,7633,7662,6742,4440,10657,13347,15389,6695,4429,5171,2715,1264,453.2,66347,63196,11634,9150,32665,33682,4082,5068,2086,85691,1342,136,0,119,0,2,2498,730,319,321,156,251,225,496,75,0,26,19,517,2086,528,351,759,9,92345,88606,34773,13950,92345,66347
"43",11,2012,8,5898,8977,723,8048,7182,42,0,0,0,2080.3,4316.8,NA,NA,11,2012,8,0.00661971830985916,-0.0229577464788732,1,1,0,23979,12253,11726,1470,1476,1377,1460,1153,2290,2358,3474,1806,1904,3161,1615,435,579.1,18704,18109,6378,5211,9479,9225,2557,2654,783,19457,72,3515,10,2892,6,10,92,3,30,10,4,13,8,24,24,0,24,0,36,783,47,513,64,22,23979,23647,21639,8048,23979,18704
"44",11,2014,8,6246,5445,585,6805,4847,10,6432,5104,354,2920,3650,2941.9,3452.9,11,2014,8,0.115753424657534,-0.0572602739726027,0,1,1,24032,12242,11790,1409,1478,1438,1318,1192,2174,2251,3359,1865,2006,3363,1698,481,571.2,18834,18282,6766,5542,9502,9332,2737,2805,869,19258,102,3590,5,2928,6,25,136,0,37,19,4,19,4,53,49,0,41,0,28,869,67,595,42,31,24032,23650,21778,6805,24032,18834
"45",11,2016,8,0,0,0,9407,6287,34,0,0,0,NA,NA,NA,NA,11,2016,8,0.122328767123288,-0.0612328767123288,1,0,0,24451,12362,12089,1500,1585,1417,1304,1232,2241,2155,3139,1934,2065,3565,1795,519,598.9,19066,18512,7081,5879,9532,9534,2896,2983,784,19301,98,4016,3,3324,9,53,180,2,15,61,1,19,0,82,32,0,20,0,40,784,82,525,28,44,24451,23909,21855,9407,24451,19066
"46",12,2012,7,1556,4091,273,1739,4002,228,0,0,0,644.6,1337.6,NA,NA,12,2012,7,-0.120909090909091,0.104545454545455,1,1,0,11704,5795,5909,756,762,755,777,526,1269,1246,1763,1023,606,1037,790,394,220,8882,8556,2481,2221,4306,4576,968,1253,181,11081,34,39,0,28,0,0,43,16,0,0,3,13,11,0,97,0,0,97,229,181,14,102,4,4,11704,11102,5251,4002,11704,8882
"47",12,2014,7,2001,2460,205,1735,2902,4,2116,2284,149,960,1200,967.2,1135.2,12,2014,7,-0.0279166666666667,0.09,0,1,1,11577,5739,5838,697,687,750,755,598,1260,1235,1704,939,717,1037,692,506,219.3,8901,8490,2626,2235,4341,4560,964,1271,249,10916,73,19,0,3,0,15,56,16,0,19,4,8,9,0,117,0,0,117,147,249,85,128,20,2,11577,10931,5285,2902,11577,8901
"48",12,2016,7,0,0,0,2514,3593,5,0,0,0,NA,NA,NA,NA,12,2016,7,-0.0268,0.0864,1,0,0,11420,5666,5754,753,664,728,655,633,1271,1195,1564,860,807,1076,653,561,210.5,8838,8378,2742,2290,4328,4510,992,1298,191,10727,53,53,0,2,0,18,81,4,20,54,1,2,0,0,130,0,0,130,185,191,68,35,33,0,11420,10743,5369,3593,11420,8838
"49",13,2012,8,8371,13522,957,12123,10675,76,0,0,0,527.4,1094.4,NA,NA,13,2012,8,0.0111111111111111,-0.0133333333333333,1,1,0,61492,31698,29794,3557,4389,4624,4378,3000,7352,8874,10684,4259,3275,4151,2176,773,390.7,46051,43840,8812,7100,23765,22286,3357,3743,930,58892,657,381,1,198,0,40,380,45,44,57,0,37,63,134,2,2,0,0,250,930,261,285,236,11,61492,60490,24057,12123,61492,46051
"50",13,2014,8,9414,8051,772,9452,7780,18,9593,7508,594,840,1050,846.3,993.3,13,2014,8,0.0866666666666667,-0.0242857142857143,0,1,1,62270,32092,30178,3521,3995,4776,4354,3263,7277,8543,10876,4691,3118,4702,2282,872,398.3,47042,44895,9547,7856,24222,22820,3709,4147,977,59660,618,342,1,169,0,39,400,49,38,70,0,64,85,94,7,4,0,0,266,977,247,300,321,12,62270,61179,24329,9593,62270,47042
"51",13,2016,8,0,0,0,16150,13189,79,0,0,0,NA,NA,NA,NA,13,2016,8,0.0869565217391304,-0.0234782608695652,1,0,0,62081,31993,30088,3478,3811,4507,4050,3338,7292,8139,10504,4884,3567,5311,2361,839,411.6,47608,45509,10433,8511,24608,23000,4019,4492,1159,59388,709,276,6,164,0,3,424,29,48,84,2,73,23,165,4,0,0,0,121,1159,255,414,367,21,62081,61041,24473,16150,62081,47608
"52",14,2012,7,3396,7447,395,2995,7882,474,0,0,0,1025.5,2128,NA,NA,14,2012,7,-0.111428571428571,0.108857142857143,1,1,0,59181,29198,29983,4053,3690,3786,5375,6870,8023,6775,7537,3539,2406,3409,2495,1223,413,45491,40335,8547,7127,22093,23398,3065,4062,1228,54807,898,924,0,417,0,217,737,32,75,103,41,95,248,143,47,0,0,42,540,1228,217,332,422,10,59181,57033,24037,7882,59181,45491
"53",14,2014,7,2639,3342,265,2284,3947,6,2729,3140,194,1600,2000,1612,1892,14,2014,7,-0.04975,0.11,0,1,1,60482,29917,30565,4214,3854,3716,5443,6980,8479,6667,7353,3593,2782,3639,2453,1309,432.4,46485,41107,9074,7401,22626,23859,3221,4180,1657,55899,960,785,0,455,0,32,694,27,61,72,18,107,312,97,20,0,0,18,467,1657,229,495,487,62,60482,58111,24499,3947,60482,46485
"54",14,2016,7,0,0,0,9060,16518,43,0,0,0,NA,NA,NA,NA,14,2016,7,-0.0689285714285714,0.138392857142857,1,0,0,61718,30478,31240,4247,4276,3688,5345,6996,8661,6952,7074,3663,3032,3914,2544,1326,430,47208,42286,9588,7784,23060,24148,3443,4341,1812,56927,1271,770,0,492,0,77,649,30,181,41,38,86,155,118,26,0,0,20,263,1812,446,561,458,32,61718,59130,25165,16518,61718,47208
"55",15,2012,7,1709,2172,200,1517,2441,164,0,0,0,849.7,1763.2,NA,NA,15,2012,7,-0.0248275862068966,0.02,1,1,0,9104,4662,4442,629,624,604,549,395,979,1024,1320,659,625,913,512,271,218.8,6887,6583,2066,1696,3460,3427,795,901,265,7986,51,745,0,613,0,22,48,14,4,0,2,24,0,4,0,0,0,0,9,265,6,133,6,4,9104,8985,5095,2441,9104,6887
"56",15,2014,7,1242,854,127,1154,1068,5,1257,832,72,920,1150,926.9,1087.9,15,2014,7,0.124782608695652,-0.0621739130434783,0,1,1,9276,4700,4576,620,684,610,559,418,988,1052,1254,672,678,953,535,253,218.2,6989,6694,2171,1741,3497,3492,824,917,336,8158,17,708,1,566,0,23,41,15,0,0,1,20,0,5,7,0,7,0,9,336,14,165,19,5,9276,9138,5056,1257,9276,6989
"57",15,2016,7,0,0,0,2293,1861,1,0,0,0,NA,NA,NA,NA,15,2016,7,0.115172413793103,-0.05,1,0,0,9335,4731,4604,584,683,665,575,440,961,1065,1207,730,635,981,554,255,220.2,7018,6724,2206,1790,3502,3516,851,939,348,8171,31,721,4,606,0,15,40,14,2,3,1,14,0,6,11,2,9,0,13,348,21,212,22,0,9335,9191,5078,2293,9335,7018
"58",16,2012,8,587,1751,96,905,1573,6,0,0,0,322.3,668.8,NA,NA,16,2012,8,-0.129090909090909,0.0890909090909091,1,1,0,5206,2657,2549,213,175,278,221,272,497,597,867,441,570,628,328,119,283.3,4324,4273,1405,1075,2152,2172,522,553,183,4569,28,348,0,281,1,5,39,0,1,0,0,2,3,33,18,0,0,5,21,183,0,153,5,0,5206,5170,5512,1573,5206,4324
"59",16,2014,8,176,445,27,235,376,0,190,419,17,80,100,80.6,94.6,16,2014,8,-0.125,0.18,0,1,1,5197,2598,2599,194,215,247,191,246,496,564,814,418,628,702,336,146,286.7,4369,4248,1578,1184,2148,2221,568,616,127,4534,50,366,0,261,2,1,44,0,5,2,0,0,0,37,21,0,0,6,55,127,0,105,0,0,5197,5113,5671,419,5197,4369
"60",16,2016,8,0,0,0,1159,2182,7,0,0,0,NA,NA,NA,NA,16,2016,8,-0.106153846153846,0.181538461538462,1,0,0,5215,2606,2609,205,197,227,225,268,475,551,724,461,598,790,359,135,311.3,4393,4232,1651,1284,2160,2233,622,662,108,4527,15,429,0,328,3,1,48,1,3,7,0,0,0,37,20,0,0,3,68,108,1,91,0,1,5215,5117,5738,2182,5215,4393
"61",17,2012,1,756,902,86,969,800,0,0,0,0,263.7,547.2,NA,NA,17,2012,1,0.0822222222222222,-0.1,1,1,0,11519,5657,5862,713,862,694,691,634,1232,1130,1576,838,623,1122,875,529,257.2,8805,8446,2901,2526,4243,4562,1088,1438,183,10682,65,28,0,9,0,5,257,13,0,4,5,4,55,176,0,0,0,0,304,183,58,28,57,0,11519,10804,5360,969,11519,8805
"62",17,2012,7,1174,2505,204,1401,2167,281,0,0,0,527.4,1094.4,NA,NA,17,2012,7,-0.0983333333333333,0.117777777777778,1,1,0,11519,5657,5862,713,862,694,691,634,1232,1130,1576,838,623,1122,875,529,257.2,8805,8446,2901,2526,4243,4562,1088,1438,183,10682,65,28,0,9,0,5,257,13,0,4,5,4,55,176,0,0,0,0,304,183,58,28,57,0,11519,10804,5360,2167,11519,8805
"63",17,2014,1,398,260,25,396,283,0,433,219,20,360,450,362.7,425.7,17,2014,1,0.183333333333333,-0.121111111111111,0,1,1,11376,5522,5854,761,816,689,664,660,1107,1132,1522,864,637,1153,848,523,265.8,8698,8342,2906,2524,4169,4529,1085,1439,198,10378,67,49,0,15,0,7,243,16,0,4,2,1,64,156,26,0,0,26,415,198,70,18,81,0,11376,10595,5350,450,11376,8698
"64",17,2014,7,1285,1444,162,1320,1547,4,1366,1360,97,760,950,765.7,898.7,17,2014,7,0.0652631578947368,-0.00421052631578947,0,1,1,11376,5522,5854,761,816,689,664,660,1107,1132,1522,864,637,1153,848,523,265.8,8698,8342,2906,2524,4169,4529,1085,1439,198,10378,67,49,0,15,0,7,243,16,0,4,2,1,64,156,26,0,0,26,415,198,70,18,81,0,11376,10595,5350,1547,11376,8698
"65",17,2016,1,0,0,0,1182,607,3,0,0,0,NA,NA,NA,NA,17,2016,1,0.183,-0.119,1,0,0,11357,5551,5806,746,800,758,617,647,1159,1125,1412,821,695,1218,885,474,258.8,8662,8296,2989,2577,4173,4489,1115,1462,191,10282,72,54,0,27,0,25,333,15,0,4,0,0,42,272,4,0,0,4,421,191,91,24,67,0,11357,10573,5358,1182,11357,8662
"66",17,2016,7,0,0,0,1921,1873,3,0,0,0,NA,NA,NA,NA,17,2016,7,0.0652631578947368,-0.00421052631578947,1,0,0,11357,5551,5806,746,800,758,617,647,1159,1125,1412,821,695,1218,885,474,258.8,8662,8296,2989,2577,4173,4489,1115,1462,191,10282,72,54,0,27,0,25,333,15,0,4,0,0,42,272,4,0,0,4,421,191,91,24,67,0,11357,10573,5358,1921,11357,8662
"67",18,2012,8,12073,19025,1644,17044,15756,111,0,0,0,1787.3,3708.8,NA,NA,18,2012,8,0.0114754098360656,-0.0218032786885246,1,1,0,66377,33175,33202,4300,4146,4130,4113,3436,7374,7388,9768,4717,4637,6906,3973,1489,652.5,51186,49045,15059,12368,25358,25828,5798,6570,681,64082,468,752,10,516,8,32,265,16,32,45,64,38,13,57,46,0,0,0,83,681,86,306,173,10,66377,65676,42424,17044,66377,51186
"68",18,2014,8,8034,7138,746,9127,6147,9,8263,6631,468,1600,2000,1612,1892,18,2014,8,0.11775,-0.0545,0,1,1,66456,33280,33176,4030,4129,4340,3854,3432,7532,7257,9379,4694,4873,7316,4030,1590,667.4,51425,49342,15752,12936,25480,25945,6089,6847,582,64103,486,833,24,615,11,39,322,5,31,83,19,95,14,75,44,0,0,0,86,582,127,232,133,7,66456,65653,42613,9127,66456,51425
"69",18,2016,8,0,0,0,20873,14482,74,0,0,0,NA,NA,NA,NA,18,2016,8,0.12515625,-0.05671875,1,0,0,66673,33411,33262,3800,4043,4506,3701,3459,7499,7188,8939,4921,4892,7857,4154,1714,684.3,51884,50054,16682,13725,25700,26184,6481,7244,857,64309,391,789,43,405,7,153,284,0,30,122,11,94,13,14,1,1,0,0,42,857,280,244,188,7,66673,65750,43189,20873,66673,51884
"70",19,2012,2,65598,117062,6955,97723,86167,288,0,0,0,3603.9,7478.4,NA,NA,19,2012,2,0.051219512195122,-0.0516260162601626,1,1,0,400915,196889,204026,27590,29190,29619,27963,22137,54356,57491,66175,25519,20502,22881,12512,4980,725.7,295912,282672,51650,40373,143209,152703,17484,22889,10264,343100,19276,1688,40,655,0,140,17472,4408,2140,1372,472,1818,2023,5239,357,42,137,23,8758,10264,3491,1828,2669,218,400915,377002,160130,97723,400915,295912
"71",19,2014,2,48396,46328,3172,55838,36967,4431,49169,43988,2409,3880,4850,3909.1,4588.1,19,2014,2,0.0834020618556701,-0.0289690721649485,0,1,1,407148,199921,207227,27237,28819,29664,27652,22582,54865,55811,65469,27441,22684,26093,13540,5291,725.5,303249,289691,57571,44924,146927,156322,19692,25232,11672,344088,20820,1398,54,456,0,98,18173,3971,2229,1189,470,1456,3009,5849,242,0,0,7,10755,11672,3972,1977,2976,221,407148,381472,161747,55838,407148,303249
"72",19,2016,2,0,0,0,97225,101266,230,0,0,0,NA,NA,NA,NA,19,2016,2,0.0568888888888889,0.00918518518518519,1,0,0,413005,202817,210188,27175,28774,29359,27244,23955,54790,54759,63372,29971,23576,29599,14519,5912,734.7,309797,296258,63152,50030,150270,159527,22071,27959,13002,346139,22080,1162,17,651,0,128,19140,4014,2448,1430,474,1392,3998,5384,62,0,0,10,11420,13002,5515,2170,2876,132,413005,385919,163198,101266,413005,309797
"73",20,2012,1,2290,3462,292,2970,3138,2,0,0,0,498.1,1033.6,NA,NA,20,2012,1,0.0852941176470588,-0.107647058823529,1,1,0,19841,9921,9920,1467,1593,1699,1483,929,2397,2775,2980,1217,821,1293,769,418,221,14086,13433,2951,2480,6984,7102,1084,1396,160,19258,109,23,0,12,0,4,116,0,25,6,22,63,0,0,0,0,0,0,175,160,5,69,51,0,19841,18924,7856,3138,19841,14086
"74",20,2014,1,2050,2057,306,1973,2403,15,2211,1826,174,360,450,362.7,425.7,20,2014,1,0.0588888888888889,0.00111111111111111,0,1,1,20053,10029,10024,1379,1503,1768,1452,1028,2329,2736,2962,1284,1009,1412,827,364,229,14443,13795,3171,2603,7161,7282,1153,1450,214,19424,104,32,0,17,0,3,100,0,20,2,22,32,0,24,0,0,0,0,179,214,63,54,62,10,20053,19093,7905,2403,20053,14443
"75",20,2016,1,0,0,0,5823,4601,5,0,0,0,NA,NA,NA,NA,20,2016,1,0.11,-0.0427272727272727,1,0,0,20149,10094,10055,1362,1573,1707,1393,1077,2231,2676,2903,1450,1049,1482,915,331,237.3,14584,13928,3250,2728,7301,7283,1237,1491,265,19427,64,55,0,26,0,16,180,0,120,4,25,13,0,18,0,0,0,0,158,265,145,55,19,2,20149,19166,7946,5823,20149,14584
"76",21,2012,7,6874,11535,874,7848,10512,959,0,0,0,1025.5,2128,NA,NA,21,2012,7,-0.00971428571428571,0.00428571428571429,1,1,0,37584,18809,18775,2223,2154,2356,2287,2127,4277,4066,5501,2624,2412,3965,2574,1018,445.1,29450,28101,9014,7557,14638,14812,3444,4113,332,36767,210,148,1,40,0,8,114,6,9,22,3,26,9,39,3,3,0,0,10,332,91,84,132,0,37584,37210,20892,10512,37584,29450
"77",21,2014,7,3079,3197,341,3500,3038,17,3353,2829,229,720,900,725.4,851.4,21,2014,7,0.05,0.00888888888888889,0,1,1,37872,18934,18938,2057,2327,2354,2181,2136,4268,4026,5304,2740,2583,4208,2546,1142,447.8,29773,28338,9497,7896,14757,15016,3600,4296,405,37011,194,113,1,39,0,7,86,8,17,0,6,34,12,9,2,2,0,0,61,405,136,99,127,0,37872,37426,21164,3500,37872,29773
"78",21,2016,7,0,0,0,11207,9960,19,0,0,0,NA,NA,NA,NA,21,2016,7,0.072972972972973,-0.00459459459459459,1,0,0,38283,19153,19130,2031,2425,2305,2074,2210,4263,4048,4948,2942,2715,4496,2639,1187,456.7,30169,28753,9966,8322,14942,15227,3820,4502,420,37296,218,138,0,49,0,10,70,0,18,8,6,32,0,6,0,0,0,0,141,420,132,112,166,0,38283,37745,21473,11207,38283,30169
"79",22,2012,1,2377,4788,354,3533,4102,10,0,0,0,966.9,2006.4,NA,NA,22,2012,1,0.0712121212121212,-0.0963636363636364,1,1,0,15432,7756,7676,844,870,975,1057,716,1543,1531,2393,1200,988,1527,1128,660,501.1,12048,11591,3851,3315,5952,6096,1407,1908,152,14962,75,59,6,18,0,1,29,0,12,4,0,0,3,10,0,0,0,0,155,152,39,52,9,17,15432,14624,7464,4102,15432,12048
"80",22,2014,1,1619,1842,236,1779,1907,5,1705,1727,161,600,750,604.5,709.5,22,2014,1,0.0653333333333333,-0.01,0,1,1,15194,7685,7509,844,916,851,1003,684,1537,1555,2169,1322,1030,1563,1112,608,487.5,11919,11482,3871,3283,5938,5981,1408,1875,162,14815,56,49,0,13,0,2,62,2,17,15,0,0,9,19,0,0,0,0,50,162,31,93,11,9,15194,14336,7415,1907,15194,11919
"81",22,2016,1,0,0,0,4429,2884,3,0,0,0,NA,NA,NA,NA,22,2016,1,0.161212121212121,-0.0906060606060606,1,0,0,14857,7488,7369,831,915,827,880,687,1447,1531,1976,1332,1105,1631,1059,636,493.9,11673,11317,3976,3326,5794,5879,1446,1880,196,14492,28,11,0,11,0,0,52,3,5,25,0,2,0,17,0,0,0,0,78,196,63,92,25,1,14857,13977,7386,4429,14857,11673
