"","CC","Year","CG","SenR","SenD","SenThird","CongR","CongD","CongThird","GovR","GovD","GovThird","SenR_Poll","SenD_Poll","GovR_Poll","GovD_Poll","CC..17","Year..18","CG..19","RLeanFromStateMean","DLeanFromStateMean","PRESyear","SENyear","GOVyear","Total.population","MalePop","FemalePop","Age5Under","Age5to9","Age10to14","Age15to19","Age20To24","Age25to34","Age35to44","Age45to54","Age55to59","Age60to64","Age65to74","Age75to84","Age85Plus","MedianAge","Adults18Plus","Adults21Plus","Adults62Plus","Adults65Plus","Adults18Male","Adults18Female","Adults65Male","Adults65Female","PopTwoOrMore","PopWhite","PopBlack","PopIndianNative","Cherokee","Chippewa","Navajo","Sioux","PopAsian","PopAsianIndian","PopChinese","PopFilipino","PopJapanese","PopKorean","PopVietnamese","PopOtherAsian","PopHawaiian","GuamOrChamarro","Samoan","OtherPacIslander","SomeOtherRace","RaceTwoOrMore","WhiteAndBlack","WhiteAndNative","WhiteAndAsian","WhiteAndAlaska","LoneRaceAndTwoOrMore","NotHispOrLatino","TotHousingUnits","NumVotes","Last.Max.Votes","Two.Max.Votes"
"274",84,2014,7,706,703,104,672,848,1,745,673,35,480,600,483.6,567.6,84,2014,7,0.0633333333333333,-0.01,0,1,1,6753,3433,3320,387,481,427,429,303,712,735,1098,455,477,596,446,207,298.2,5169,4966,1511,1249,2575,2594,570,679,92,6550,24,69,0,26,0,43,14,0,0,0,0,0,14,0,0,0,0,0,4,92,13,31,37,0,6753,6590,3163,848,6753,5169
"275",84,2016,7,0,0,0,1369,1868,0,0,0,0,NA,NA,NA,NA,84,2016,7,-0.01375,0.0896875,1,0,0,6641,3331,3310,345,472,414,416,238,743,731,1007,493,527,618,424,213,313,5126,4941,1525,1255,2547,2579,569,686,154,6330,47,101,0,28,0,59,2,0,0,0,0,0,2,0,0,0,0,0,7,154,32,60,44,14,6641,6545,3201,1868,6641,5126
"276",85,2012,1,8032,14913,1750,9809,15139,39,0,0,0,1377.1,2857.6,NA,NA,85,2012,1,0.00914893617021277,-0.0306382978723404,1,1,0,50425,24716,25709,2553,2852,2568,5291,7467,5611,4901,6603,3075,2740,3391,2277,1096,291.2,40739,35390,8394,6764,19713,21026,2951,3813,645,47711,597,89,0,28,0,13,1214,94,226,48,0,191,234,421,0,0,0,0,169,645,195,248,115,31,50425,49233,20378,15139,50425,40739
"277",85,2014,1,5814,7420,813,5850,8068,33,5997,7083,415,1800,2250,1813.5,2128.5,85,2014,1,0.000444444444444443,0.0595555555555556,0,1,1,50155,24532,25623,2357,2796,2456,5052,7329,5782,4834,6146,3395,2890,3687,2289,1142,291.7,40848,35792,8799,7118,19825,21023,3140,3978,459,47168,684,180,0,43,0,25,1264,91,200,48,26,111,24,764,24,4,0,20,376,459,183,126,73,20,50155,48888,20470,8068,50155,40848
"278",85,2016,1,0,0,0,10754,14362,30,0,0,0,NA,NA,NA,NA,85,2016,1,0.00285714285714286,0.0587755102040816,1,0,0,50112,24643,25469,2334,2766,2361,5077,7273,5903,4724,5852,3543,2769,4053,2345,1112,292.9,40925,35748,9087,7510,20030,20895,3370,4140,580,47039,751,169,0,63,0,23,1333,84,163,31,43,106,28,878,12,3,0,9,228,580,241,166,67,0,50112,48755,20494,14362,50112,40925
"279",86,2012,6,23479,31496,2581,31020,26172,167,0,0,0,1084.1,2249.6,NA,NA,86,2012,6,0.0943243243243243,-0.114054054054054,1,1,0,121761,61434,60327,10204,10152,10103,8525,5537,16883,18648,17709,6608,5322,7025,3533,1512,546.9,85528,81780,15063,12070,42757,42771,5512,6558,2228,115259,1139,477,0,328,0,5,1046,43,32,284,79,133,31,444,0,0,0,0,1612,2228,803,408,789,0,121761,118631,48249,31020,121761,85528
"280",86,2014,6,21933,15308,1736,23195,13419,2020,22540,14040,1286,1640,2050,1652.3,1939.3,86,2014,6,0.208780487804878,-0.152682926829268,0,1,1,124440,62956,61484,9700,10256,10542,8714,5710,16532,18439,18244,6981,6022,7745,3939,1616,549.9,88108,84072,16848,13300,44035,44073,6194,7106,1990,117824,1314,542,0,188,0,28,1324,26,94,115,19,183,23,864,3,0,0,0,1443,1990,780,308,617,2,124440,121095,48659,23195,124440,88108
"281",86,2016,6,0,0,0,47180,20135,80,0,0,0,NA,NA,NA,NA,86,2016,6,0.211860465116279,-0.154651162790698,1,0,0,126773,64005,62768,9374,10728,10387,8279,6150,16245,18250,18393,7883,6626,8453,4099,1906,564.6,90541,86853,18252,14458,45427,45114,6793,7665,2202,120189,1398,411,0,112,0,29,1347,19,185,131,6,353,41,612,9,6,0,0,1217,2202,744,416,734,1,126773,123516,49235,47180,126773,90541
"282",87,2012,7,1300,3013,199,1435,2926,164,0,0,0,849.7,1763.2,NA,NA,87,2012,7,-0.0675862068965517,0.016551724137931,1,1,0,10922,5542,5380,679,647,701,701,554,1153,1176,1696,757,609,978,872,399,291.4,8431,8073,2609,2249,4217,4214,988,1261,200,10248,30,279,11,41,2,196,54,14,3,24,2,5,0,6,5,0,0,1,106,200,9,99,50,11,10922,10597,5215,2926,10922,8431
"283",87,2014,7,1758,2024,163,1538,2376,5,1892,1836,131,1160,1450,1168.7,1371.7,87,2014,7,0.0220689655172414,0.0413793103448276,0,1,1,10806,5485,5321,687,660,671,655,512,1308,1044,1528,810,711,1048,747,425,290.7,8338,8012,2643,2220,4165,4173,990,1230,186,10101,24,378,1,17,4,338,59,9,4,28,3,2,1,12,0,0,0,0,58,186,28,107,25,0,10806,10438,5194,2376,10806,8338
"284",87,2016,7,0,0,0,2335,2851,4,0,0,0,NA,NA,NA,NA,87,2016,7,0.0216666666666667,0.0423333333333333,1,0,0,10702,5426,5276,640,679,699,627,519,1234,1088,1404,840,775,1105,700,392,293.2,8250,7938,2621,2197,4130,4120,1001,1196,201,9837,22,455,2,19,3,403,61,5,1,3,5,1,2,44,0,0,0,0,126,201,6,172,10,0,10702,10290,5129,2851,10702,8250
